	Respondent	MainBranch	Hobbyist	Age	Age1stCode	CompFreq	CompTotal	ConvertedComp	Country	CurrencyDesc	CurrencySymbol	DatabaseDesireNextYear	DatabaseWorkedWith	DevType	EdLevel	Employment	Ethnicity	Gender	JobFactors	JobSat	JobSeek	LanguageDesireNextYear	LanguageWorkedWith	MiscTechDesireNextYear	MiscTechWorkedWith	NEWCollabToolsDesireNextYear	NEWCollabToolsWorkedWith	NEWDevOps	NEWDevOpsImpt	NEWEdImpt	NEWJobHunt	NEWJobHuntResearch	NEWLearn	NEWOffTopic	NEWOnboardGood	NEWOtherComms	NEWOvertime	NEWPurchaseResearch	NEWPurpleLink	NEWSOSites	NEWStuck	OpSys	OrgSize	PlatformDesireNextYear	PlatformWorkedWith	PurchaseWhat	Sexuality	SOAccount	SOComm	SOPartFreq	SOVisitFreq	SurveyEase	SurveyLength	Trans	UndergradMajor	WebframeDesireNextYear	WebframeWorkedWith	WelcomeChange	WorkWeekHrs	YearsCode	YearsCodePro
30900	31017	I am a developer by profession	Yes	21.0	17	Monthly			Nepal	Nepalese rupee	NPR	Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Oracle	MongoDB	Developer, back-end	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Woman	Industry that I’d be working in;Flex time or a flexible schedule;Opportunities for professional development	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	Bash/Shell/PowerShell;Go;Java;JavaScript;Kotlin;Python;R;SQL	HTML/CSS;JavaScript;Kotlin;Python;R;SQL	Apache Spark;Flutter;Node.js;Pandas;React Native;TensorFlow;Torch/PyTorch	Node.js;Pandas	Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)	Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)	Not sure	Extremely important	Fairly important	Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company	Once a year	Yes	Yes	No	Occasionally: 1-2 days per quarter but less than monthly		Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Play games;Call a coworker or friend;Visit Stack Overflow;Panic;Watch help / tutorial videos;Do other work and come back later	Linux-based	10 to 19 employees	AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;Kubernetes;Linux;MacOS;Slack Apps and Integrations	Linux;Slack Apps and Integrations	I have little or no influence	Straight / Heterosexual	Yes	Yes, somewhat	Less than once per month or monthly	Daily or almost daily	Easy	Too long	No	Computer science, computer engineering, or software engineering	Express;Flask;jQuery;React.js;Ruby on Rails;Spring;Vue.js	Express;Flask	Somewhat more welcome now than last year		4.0	Less than 1 year
30989	31106	I am a student who is learning to code	Yes	21.0	19				Nepal			MongoDB;MySQL;Oracle	Microsoft SQL Server;MySQL;Oracle		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Student	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development		I’m not actively looking, but I am open to new opportunities	HTML/CSS;Java;JavaScript;TypeScript	Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;Objective-C;SQL	.NET;Node.js;React Native		Github	Stack Overflow for Teams							Not sure		Yes		Start a free trial;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations)	Visit Stack Overflow;Watch help / tutorial videos	Windows		Android;iOS;Windows;WordPress	Windows		Straight / Heterosexual	Yes	Yes, definitely	A few times per month or weekly	A few times per week	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	React.js;Spring;Vue.js		Just as welcome now as I felt last year		2.0	
31621	31740	I code primarily as a hobby	Yes		18				Nepal			MySQL;PostgreSQL	MySQL;Oracle;PostgreSQL;SQLite			Student	South Asian	Man				Dart;HTML/CSS;JavaScript;PHP;Python;SQL	C++;HTML/CSS;JavaScript;PHP;Python;SQL	Flutter		Github							Once a year			Yes		Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow	Windows		Linux;Windows	Linux;Windows			Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	Daily or almost daily	Neither easy nor difficult	Too long	No	Computer science, computer engineering, or software engineering	Django;jQuery	Django;jQuery;Laravel			2.0	
32674	32794	I am a student who is learning to code	Yes	21.0	17				Nepal			Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite	Firebase;MongoDB;MySQL;Oracle		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Student	Southeast Asian	Man	Financial performance or funding status of the company or organization;Opportunities for professional development;Family friendliness		I am actively looking for a job	C#;HTML/CSS;Java;Kotlin;PHP;Python;SQL;TypeScript	C;C++;Dart;HTML/CSS;JavaScript;PHP;Python;R;SQL;TypeScript	Node.js	Node.js;Unity 3D	Github	Github;Gitlab						Every few months	Not sure		Yes		Start a free trial;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Visit Stack Overflow;Watch help / tutorial videos	Linux-based		Docker;Heroku;Kubernetes;Linux	Heroku;Linux;Windows			Yes	Yes, definitely	A few times per week	Daily or almost daily	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular;ASP.NET Core;Express;Gatsby;jQuery;React.js	Express;jQuery;React.js	A lot more welcome now than last year		2.0	
32863	32983	I am not primarily a developer, but I write code sometimes as part of my work	Yes	27.0	10	Monthly	100500.0	10560.0	Nepal	Nepalese rupee	NPR	Cassandra;Couchbase;Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;Redis	Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle	Developer, QA or test	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	Southeast Asian	Man	Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development	Slightly satisfied	I am actively looking for a job	Bash/Shell/PowerShell;Java;PHP;R;Scala;SQL	Bash/Shell/PowerShell;HTML/CSS;Java;SQL	Ansible;Apache Spark;Hadoop;TensorFlow;Teraform		Jira;Github;Gitlab;Slack;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Yes	Extremely important	Critically important	Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company	Once a year	Not sure	Onboarding? What onboarding?	No	Sometimes: 1-2 days per month but less than weekly		Amused	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Meditate;Call a coworker or friend;Visit Stack Overflow	Windows	100 to 499 employees	Arduino;AWS;Docker;Kubernetes;Linux;Slack Apps and Integrations	Docker;Linux	I have little or no influence	Straight / Heterosexual	Not sure/can't remember	Not sure		Multiple times per day	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering		jQuery;Laravel;Symfony	A lot more welcome now than last year	40.0	18.0	5
33673	33796	I am a developer by profession	Yes	26.0	18	Monthly	35000.0	3672.0	Nepal	Nepalese rupee	NPR	DynamoDB;Elasticsearch;IBM DB2;Microsoft SQL Server;MongoDB	Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite	Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	East Asian;South Asian;Southeast Asian	Man	Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development	Very satisfied	I am actively looking for a job	C#;Dart;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript	C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript	.NET;.NET Core;Node.js;TensorFlow;Unity 3D	.NET;.NET Core;Node.js;React Native;Unity 3D	Confluence;Jira;Github;Gitlab;Slack;Microsoft Azure;Trello	Jira;Github;Gitlab;Slack;Trello	Yes	Neutral	Not at all important/not necessary	Curious about other opportunities;Wanting to work with new technologies;Growth or leadership opportunities	Personal network - friends or family	Every few months	Not sure	Yes	Yes	Occasionally: 1-2 days per quarter but less than monthly	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Windows	20 to 99 employees	AWS;Docker;Kubernetes;Microsoft Azure;Windows	Android;Docker;Heroku;Windows	I have some influence	Straight / Heterosexual	Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	A few times per week	Easy	Too long	No	Computer science, computer engineering, or software engineering	Angular;ASP.NET Core	Angular;ASP.NET Core;Express;Flask;jQuery;React.js	Just as welcome now as I felt last year	40.0	8.0	4
33981	34106	I am a developer by profession	Yes		14				Nepal			MongoDB;PostgreSQL		Developer, back-end	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Not employed, but looking for work		Man	Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development		I am actively looking for a job	C#;JavaScript;SQL;TypeScript	HTML/CSS;JavaScript	.NET Core;Node.js		Github;Slack;Microsoft Azure				Somewhat important	Trouble with my direct manager;Trouble with leadership at my company;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family	Every few months	Not sure		No		Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow;Watch help / tutorial videos	Windows		Linux;Windows			Straight / Heterosexual	Yes	Not sure	I have never participated in Q&A on Stack Overflow	Multiple times per day	Easy	Too long	No	Computer science, computer engineering, or software engineering	Angular.js;ASP.NET Core;Express;React.js		Somewhat more welcome now than last year		5.0	
34090	34215	I am a developer by profession	Yes	24.0	17	Yearly	1100000.0	9631.0	Nepal	Nepalese rupee	NPR		Microsoft SQL Server;MySQL;SQLite	Academic researcher;Data or business analyst;Data scientist or machine learning specialist	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	Southeast Asian	Man	Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture	Very satisfied	I’m not actively looking, but I am open to new opportunities		C;HTML/CSS;JavaScript;Python;R;SQL		Node.js;React Native;TensorFlow		Github;Facebook Workplace;Slack;Microsoft Teams;Stack Overflow for Teams	Yes	Somewhat important	Fairly important	Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family	Every few months	Yes	Yes	Yes	Sometimes: 1-2 days per month but less than weekly	Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later	Linux-based	20 to 99 employees	AWS;Docker;Google Cloud Platform;Kubernetes	Heroku;IBM Cloud or Watson;Linux;Windows	I have some influence	Straight / Heterosexual	Yes	Yes, somewhat	A few times per week	Daily or almost daily	Easy	Too long	No	Computer science, computer engineering, or software engineering		Angular.js;Django;Flask	Just as welcome now as I felt last year	40.0	4.0	2
35418	35556	I code primarily as a hobby	Yes						Nepal			Firebase;MySQL;PostgreSQL	Firebase;MySQL;PostgreSQL			Student						Dart;Go;JavaScript;Python	C++;Dart;JavaScript;Python	Flutter;Keras;Pandas;React Native;TensorFlow;Unity 3D	Flutter								Every few months											AWS;Google Cloud Platform;Heroku;Linux	AWS;Google Cloud Platform;Heroku;Linux;Windows											Django;Flask;React.js	Django;Flask;React.js				
36384	36606	I am a developer by profession	No						Nepal							Employed full-time																				No				Stack Overflow (public Q&A for anyone who codes)								Yes	Neutral	A few times per month or weekly	Daily or almost daily							Just as welcome now as I felt last year			
36446	36673	I am a student who is learning to code	Yes		18				Nepal			Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite	Cassandra;MySQL		Some college/university study without earning a degree	Student			Industry that I’d be working in		I am actively looking for a job	Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;Rust;TypeScript	C	Flutter;Hadoop;Keras;Node.js;Pandas;Puppet;React Native;TensorFlow;Teraform;Torch/PyTorch;Unity 3D;Unreal Engine		Jira;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams						Once a year	Yes		Yes		Start a free trial	Annoyed	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow	Linux-based		Android;AWS;Docker;Heroku;Kubernetes;Linux;MacOS;Microsoft Azure;Slack Apps and Integrations;Windows;WordPress	Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS;Microsoft Azure;Slack Apps and Integrations;Windows			Yes	Yes, definitely	Less than once per month or monthly	Multiple times per day				Computer science, computer engineering, or software engineering	Angular;Angular.js;ASP.NET;Django;Express;Flask;Gatsby;jQuery;Laravel;React.js;Ruby on Rails;Spring;Symfony;Vue.js	Express;Flask;Gatsby;Laravel;React.js			2.0	
36797	37057	I am a developer by profession	No		20				Nepal	Serbian dinar	RSD	IBM DB2	Firebase;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite	Developer, front-end;Developer, full-stack;Developer, mobile;Educator;Engineer, data;Product manager	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Employed full-time				Very dissatisfied	I am actively looking for a job	Go;Python	Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;SQL;Swift		Flutter;Unity 3D		Github;Gitlab;Trello	No	Neutral	Somewhat important	Just because	Read other media like news articles, founder profiles, etc. about the company	Once a year	No	No	Yes	Rarely: 1-2 days per year or less	Start a free trial	Indifferent	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend	MacOS	2 to 9 employees		Android;Google Cloud Platform;iOS;Linux;MacOS;Windows	I have some influence		Yes	Yes, somewhat	A few times per month or weekly	Daily or almost daily				Computer science, computer engineering, or software engineering		Angular.js;Django;Flask;Laravel;React.js		8.0	3.0	3
